0: 0 | 0
95: 0 | 113 113
96: 0 | 113 113 113 115
97: 0 | 115 115 115
98: 0 | 344 115 115
99: 0 | 113 113 344
100: 0 | 114 114
101: 2 | 114 115 115
102: 0 | 116
103: 1 | 116
104: 0 | 115 115 343
105: 0 | 343 116
106: 0 | 116
107: 0 | 115 115 115 115
108: 0 | 117
109: 0 | 118 118
110: 0 | 117 117
111: 2 | 117
112: 3 | 118 118 118
113: 0 | 118 118 118
114: 0 | 118 118
115: 0 | 118 119 119
116: 3 | 119 119 119 119 119 119
117: 0 | 115
118: 0 | 115 115
119: 0 | 113 113 113 115
120: 0 | 132 132 132
121: 0 | 130
122: 0 | 133 133
123: 2 | 132 132 132
124: 0 | 129 129 129
125: 0 | 130
126: 0 | 131
127: 0 | 129 129 130
128: 0 | 133 133 133
129: 0 | 133 133
130: 2 | 133 133
131: 2 | 129 129 129
132: 1 | 129 129 129
133: 3 | 133 133
134: 0 | 120 120
135: 0 | 120 120 120
136: 0 | 120
137: 3 | 120 120
138: 0 | 120
139: 0 | 120 120
140: 0 | 140 140
141: 0 | 143 140 140
142: 0 | 143
143: 2 | 140 140
144: 0 | 142 142
145: 0 | 144 144 144 144 143
146: 0 | 144 144 144 144 144 144
147: 3 | 142 142
148: 0 | 140 140 140
149: 0 | 141 141
150: 0 | 140 140 141
151: 3 | 140 140 141
152: 0 | 342 143 143
153: 0 | 161 161 342
154: 0 | 161 161 161 161
155: 0 | 143 143 143
156: 0 | 342 141 161
157: 0 | 141 141 342
158: 0 | 141 141
159: 2 | 141 141
160: 0 | 171 168 168
161: 0 | 168 168 168 168
162: 0 | 347 171 171
163: 0 | 168 168 168 347
164: 0 | 169 171 171
165: 0 | 171 171
166: 0 | 347 171 171 171
167: 0 | 347 171 171
168: 0 | 167 167 167 167
169: 0 | 170 170 167 167 167
170: 0 | 171 171 171
171: 0 | 171 170 170
172: 2 | 167 167 167
173: 2 | 171 171
174: 1 | 170 170 170
175: 3 | 171 167 170 170
176: 0 | 170 170 170 170 170
177: 0 | 170 170 171
178: 3 | 170 170 170 171 171
179: 0 | 172
180: 0 | 185
181: 0 | 187
182: 0 | 187 187
183: 2 | 187
184: 0 | 185
185: 0 | 185 185
186: 0 | 188
187: 0 | 188
188: 0 | 124 124 124
189: 0 | 124 124 124 124 124
190: 0 | 186 186
191: 3 | 124 124 124 124
192: 0 | 197
193: 0 | 198 199
194: 0 | 198 199 198 199
195: 2 | 198 199 198 199
196: 2 | 197
197: 0 | 211
198: 0 | 211 211
199: 0 | 211 211 211
200: 0 | 209
201: 0 | 209 209
202: 0 | 349 209
203: 0 | 349 209 209
204: 2 | 211 211
205: 3 | 211 211
206: 0 | 349 211 209
207: 0 | 211 211 349
208: 0 | 207
209: 0 | 205 205
210: 0 | 209 209 209
211: 1 | 209 209 209
212: 0 | 276
213: 0 | 278 278
214: 0 | 278 350
215: 0 | 278 278 350
216: 0 | 277 277 277
217: 0 | 277 277 277 277
218: 0 | 350 277 277 277
219: 0 | 350 277 277
220: 0 | 278 278 278
221: 0 | 278 278
222: 0 | 276
223: 2 | 278 278
224: 0 | 279 279 279
225: 0 | 277 277 277 277
226: 0 | 277 277 277
227: 0 | 280
228: 0 | 337
229: 0 | 187
230: 0 | 187 187
231: 0 | 185
232: 0 | 280
233: 0 | 188
234: 0 | 338 338
235: 0 | 338 338 338
236: 0 | 338
237: 2 | 338
238: 1 | 338 338
239: 3 | 338 338 338
240: 0 | 338 338
241: 0 | 338
242: 0 | 338 338
243: 0 | 338 338
244: 0 | 133
245: 0 | 133 133
246: 0 | 133
247: 0 | 133 133
248: 0 | 19
249: 0 | 19
250: 0 | 19
251: 0 | 19
252: 0 | 19
253: 0 | 19
254: 0 | 19
255: 0 | 19
256: 0 | 364
257: 0 | 19
258: 0 | 19
259: 0 | 19
260: 0 | 99
261: 0 | 99
262: 0 | 99
263: 0 | 99
264: 0 | 117
265: 0 | 117
266: 0 | 117
267: 0 | 117
268: 0 | 353
269: 0 | 353
270: 0 | 354
271: 0 | 354
272: 0 | 355
273: 0 | 355
274: 0 | 356
275: 0 | 356
276: 0 | 357
277: 0 | 357
278: 0 | 358
279: 0 | 358
280: 0 | 333
281: 0 | 335
282: 0 | 335
283: 0 | 334
284: 0 | 335
285: 0 | 334
286: 0 | 334
287: 0 | 336
288: 0 | 282
289: 0 | 283
290: 0 | 284
291: 0 | 284 284
292: 0 | 157
293: 0 | 157
294: 0 | 334
295: 0 | 157
296: 0 | 358 358
297: 2 | 358 358
298: 0 | 358
299: 0 | 90
300: 0 | 16 16
301: 0 | 16 16
302: 0 | 17
303: 0 | 16 17
304: 2 | 17
305: 0 | 18 18
306: 0 | 16 16 18
307: 0 | 16 16
308: 0 | 18 18 20
309: 0 | 20 20
310: 0 | 19 19
311: 0 | 20 19 20
312: 0 | 20 20 20
313: 0 | 19 19 19
314: 2 | 18 18
315: 2 | 19 19 19
316: 0 | 19 19 18 18
317: 0 | 19 19 18 18 18
318: 0 | 19 19 19
319: 2 | 19 19 18
320: 0 | 21
321: 0 | 21 19 19
322: 0 | 19 19 21
323: 2 | 19 19
324: 0 | 22
325: 0 | 17
326: 0 | 17 17
327: 0 | 23
328: 0 | 16 16
329: 0 | 16 16 16
330: 3 | 16 16 16
331: 0 | 26 26
332: 0 | 24 24 24 24
333: 0 | 23 23 23
334: 0 | 23 23 23 23
335: 2 | 23 23 23 23
336: 0 | 23 23 26 26
337: 0 | 26 26 26
338: 0 | 26 26 26 23 23
339: 3 | 23 23 23 23
340: 0 | 24 24 24
341: 0 | 24 24 27 27
342: 0 | 24 27 27
343: 2 | 26 27 27 27
344: 0 | 30 30 30
345: 0 | 32 32 32
346: 0 | 32 32 30 30
347: 0 | 31 31 30 30
348: 0 | 31 31 31 31
349: 2 | 30 30 32
350: 2 | 31 31 31
351: 3 | 31 31 31
352: 0 | 30 29 29
353: 0 | 29 29 32
354: 0 | 30 30 30 30
355: 0 | 29 29
356: 0 | 32 32 32 32 32
357: 0 | 29 29 31
358: 0 | 29 31 31
359: 2 | 31 31 31
360: 0 | 27 27 27
361: 2 | 30
362: 2 | 31
363: 2 | 31
364: 1 | 33
365: 1 | 33
366: 1 | 33
367: 0 | 30 30 30
368: 0 | 28 28 28
369: 0 | 28 28
370: 2 | 28 28
371: 3 | 28 28 28
372: 0 | 16
373: 0 | 17 17
374: 0 | 17 16
375: 0 | 17 17 29
376: 0 | 25 25
377: 0 | 25 28 28
378: 0 | 34 34
379: 2 | 34
380: 0 | 44 45
381: 0 | 25 25 25 25
382: 1 | 44 45
383: 3 | 25 25 25
384: 0 | 35 35 35
385: 0 | 35 35 36
386: 0 | 37
387: 0 | 37
388: 0 | 39 39 39
389: 0 | 38 38 39
390: 0 | 38 38
391: 0 | 38 38 38
392: 0 | 18 18 18
393: 0 | 17 17
394: 0 | 18 18 18
395: 0 | 21
396: 0 | 42 42 43
397: 0 | 43 43
398: 0 | 41 41 41
399: 0 | 41 43 41
400: 0 | 40
401: 0 | 43 43 43
402: 2 | 41 41
403: 3 | 41 41 41
404: 0 | 46 47 46 47
405: 0 | 46 47 46 47 46 47
406: 0 | 46 47
407: 2 | 46 47 46 47
408: 3 | 46 47 46 47
409: 2 | 46 47 46 47 46 47
410: 2 | 46 47 46 47
411: 0 | 40
412: 0 | 48 49 49 49
413: 0 | 48 49 49 49
414: 0 | 48 49 49 49
415: 0 | 60 60
416: 0 | 60 60
417: 0 | 60 60 60
418: 3 | 60 60
419: 0 | 57 58
420: 0 | 57 58 57 58
421: 0 | 57 58 57 58 57 58
422: 0 | 57 58 57 58 57 58
423: 3 | 57 58 57 58
424: 0 | 53 54
425: 0 | 55
426: 0 | 53 54 53 54
427: 0 | 55 55
428: 0 | 55 55 55
429: 3 | 53 54 53 54
430: 0 | 55
431: 0 | 55
432: 0 | 50 51 52
433: 0 | 50 51 52 50 51 52
434: 2 | 50 51 52 50 51 52
435: 2 | 50 51 52 50 51 52
436: 0 | 59
437: 0 | 56 56
438: 0 | 59 59
439: 2 | 59
440: 0 | 56 56 56
441: 0 | 59 59 59
442: 0 | 59 56 56
443: 2 | 56 56
444: 0 | 61 61
445: 0 | 61
446: 0 | 62 62 62
447: 2 | 61 62 62
448: 0 | 63 63
449: 0 | 62 63
450: 0 | 61 61 63
451: 3 | 63 63
452: 0 | 63
453: 0 | 62 62
454: 2 | 63 63
455: 3 | 62 62 62
456: 0 | 65 65 65 64
457: 0 | 64
458: 0 | 64
459: 0 | 64
460: 0 | 66
461: 0 | 67
462: 0 | 66
463: 0 | 67
464: 0 | 68 69 70 70
465: 0 | 68 69 70 70
466: 0 | 68 69 70
467: 0 | 68 69 70
468: 2 | 71
469: 0 | 81
470: 0 | 81
471: 3 | 84 84
472: 0 | 82 82
473: 0 | 82 83 83 82 83
474: 0 | 85 85 85
475: 2 | 83 83 83 83
476: 0 | 83 83 83 84
477: 0 | 85 85 85 85
478: 0 | 85 85 84 83
479: 0 | 83 83 83 83 83
480: 0 | 91 92 92 92
481: 0 | 91 92 92 92
482: 0 | 91 92 92 92
483: 0 | 91 92 92 92
484: 0 | 93 93 93 93
485: 0 | 94 94
486: 0 | 94 94 94
487: 2 | 93 93 93 93
488: 0 | 95
489: 0 | 95
490: 0 | 95
491: 0 | 95
492: 0 | 101 101 101
493: 0 | 100 100 100 101
494: 0 | 101 100 103
495: 2 | 101 101 101
496: 0 | 102 102 102
497: 0 | 103 103
498: 0 | 102 102 102 102
499: 0 | 102 103 102
500: 0 | 105
501: 0 | 105 105
502: 0 | 104 102 102
503: 0 | 104 104
504: 0 | 101 101 101 104
505: 0 | 104 104
506: 2 | 104
507: 3 | 101 101 101 101 101
508: 0 | 100 100 100 100 100
509: 0 | 101 101 103
510: 0 | 100 100 100 101 101
511: 1 | 100 100 100 100 100
512: 0 | 104
513: 0 | 105
514: 0 | 103
515: 3 | 104 104 104
516: 0 | 107 108 108
517: 0 | 107 107 108
518: 0 | 107 107 107
519: 3 | 108 108
520: 3 | 107 107 107 107
521: 0 | 106 106
522: 0 | 109 109 109 109
523: 0 | 106 106 109
524: 0 | 110
525: 0 | 109
526: 0 | 109 109
527: 0 | 111
528: 0 | 125
529: 0 | 119
530: 0 | 125 125
531: 3 | 119 119
532: 0 | 121 122 123
533: 1 | 121 122 123
534: 0 | 121 122 123
535: 0 | 121 122 123
536: 0 | 126
537: 2 | 126
538: 0 | 126
539: 0 | 127 128
540: 0 | 136 136 136 136
541: 0 | 135
542: 0 | 136 136 135
543: 0 | 135 135 135
544: 0 | 135 135
545: 0 | 136 136 136 136 136
546: 2 | 135 135
547: 0 | 134
548: 0 | 135 136 136 136
549: 1 | 135 135
550: 3 | 135 135
551: 0 | 137
552: 3 | 134 134
553: 0 | 134 134
554: 0 | 134 134 134
555: 0 | 138 138 139
556: 0 | 146 146 146
557: 0 | 146 146 146 146
558: 0 | 149 150
559: 2 | 149 150
560: 0 | 146 146 146 146
561: 0 | 145 145 146
562: 0 | 147 147 147
563: 3 | 147 145 145
564: 0 | 146 146 148
565: 0 | 146 146 145
566: 2 | 148 148 148
567: 0 | 148 148
568: 0 | 148 148 148
569: 0 | 148 148 148 148
570: 2 | 148 148 148
571: 3 | 148 148 148
572: 0 | 151 152 153
573: 0 | 151 152 153
574: 2 | 151 152 153
575: 0 | 151 152 153
576: 0 | 154 155 156
577: 0 | 154 155 156
578: 0 | 154 155 156
579: 0 | 154 155 156
580: 0 | 161 161
581: 0 | 161 161 161
582: 0 | 158 161 161
583: 0 | 158 158
584: 0 | 158 158 158
585: 0 | 158 158
586: 0 | 160
587: 3 | 158 158
588: 0 | 159 159 158
589: 0 | 159 159 159
590: 0 | 158 158 158
591: 0 | 160
592: 0 | 162 159 162
593: 2 | 162 162
594: 3 | 162 162
595: 0 | 163
596: 0 | 161 161 161 161 161
597: 0 | 159 159 159
598: 0 | 159 159 161 161 161
599: 0 | 157
600: 0 | 164 165 166
601: 0 | 164 165 166
602: 0 | 164
603: 0 | 164
604: 0 | 168 168 168
605: 0 | 170 170
606: 0 | 176 176 170
607: 2 | 168 168 168
608: 0 | 174 170 170 170
609: 0 | 174 174
610: 0 | 174 174 174
611: 2 | 174 174
612: 0 | 176 176 176 175
613: 0 | 175 175
614: 0 | 176 176 175
615: 3 | 175 175
616: 0 | 175 175 174
617: 0 | 175 175 175
618: 3 | 174 174 175
619: 0 | 177
620: 0 | 173 173
621: 0 | 173 173
622: 0 | 173 173 173
623: 0 | 178
624: 0 | 179
625: 0 | 180
626: 0 | 181
627: 0 | 181
628: 0 | 182
629: 0 | 182
630: 0 | 182
631: 0 | 182
632: 0 | 186 186
633: 0 | 185
634: 0 | 186 186 189 189
635: 0 | 185 189 189
636: 0 | 191
637: 2 | 186 186
638: 2 | 186 189 189
639: 1 | 186 186
640: 0 | 192 192
641: 0 | 191
642: 0 | 192 192 192
643: 3 | 191 191
644: 0 | 195
645: 0 | 189 189 190
646: 0 | 189 189 189 190
647: 0 | 189 189 189 190
648: 3 | 192 192
649: 0 | 194 194
650: 0 | 194 194
651: 0 | 194 194
652: 0 | 193
653: 0 | 56 56
654: 0 | 56 56 56
655: 2 | 56 56
656: 0 | 200 201 201 201
657: 0 | 201 201 201 201
658: 0 | 201 201 200 200 200
659: 0 | 203
660: 0 | 200 200 200
661: 0 | 198 199 200 200
662: 0 | 198 199 198 199
663: 2 | 200 200 200
664: 0 | 202 202 202
665: 0 | 200 200 200 203
666: 0 | 200 200 200 200
667: 2 | 200 203 200
668: 0 | 204
669: 0 | 203 203
670: 3 | 203 203
671: 0 | 196
672: 0 | 206 206 206
673: 0 | 208 208
674: 0 | 206 206 208
675: 0 | 211 211
676: 0 | 208 208 208
677: 2 | 211 211
678: 3 | 211 211 211
679: 0 | 210
680: 0 | 207
681: 0 | 203 203 203
682: 0 | 211 211 211 211
683: 3 | 203 203 203
684: 0 | 211 211 211
685: 0 | 205
686: 0 | 211 211
687: 0 | 210
688: 0 | 205 205
689: 2 | 211 211
690: 1 | 211 210 211
691: 3 | 211 211 211
692: 0 | 207 207
693: 0 | 211 211 211 211
694: 0 | 210 207
695: 0 | 210
696: 0 | 212 213 214
697: 0 | 212 213 214 212 213 214
698: 2 | 212 213 214
699: 3 | 212 213 214 212 213 214
700: 0 | 218 218 218
701: 0 | 215
702: 0 | 220 220
703: 0 | 218 218 220
704: 2 | 218 218
705: 0 | 219
706: 0 | 218 220 218
707: 0 | 220 220 220 220
708: 0 | 221 221
709: 2 | 219
710: 3 | 221 221
711: 0 | 221 221 221
712: 0 | 222 222
713: 0 | 222 218 218
714: 0 | 216
715: 2 | 222 222
716: 0 | 221 221 221 221 217
717: 0 | 221 221 221 221 217
718: 0 | 221 221 221 221 217
719: 0 | 221 221 221 221 217
720: 0 | 224
721: 0 | 223
722: 0 | 224 224
723: 1 | 224
724: 0 | 225 225 225
725: 0 | 227 227
726: 0 | 226
727: 0 | 225 225 227
728: 2 | 225 225
729: 0 | 230
730: 0 | 230 230
731: 0 | 231
732: 0 | 226 230 230
733: 0 | 226 226
734: 2 | 230 230
735: 3 | 230 230 230
736: 0 | 232 232
737: 0 | 225 225 232
738: 0 | 233
739: 0 | 233
740: 0 | 228 229
741: 0 | 228 229
742: 0 | 228 229
743: 0 | 234
744: 0 | 235 236
745: 0 | 237 237
746: 0 | 237 235 236 237
747: 3 | 237 237
748: 0 | 239 239
749: 0 | 239 239 239
750: 0 | 238
751: 2 | 239 239
752: 1 | 238
753: 0 | 238 238
754: 0 | 239 239 237
755: 2 | 237 237
756: 0 | 243 244 245
757: 0 | 243 244 245 243 244 245
758: 0 | 243 244 245
759: 0 | 243 244 245
760: 3 | 237 237 237
761: 0 | 237 237 237
762: 0 | 237 237
763: 0 | 249 249
764: 0 | 248
765: 0 | 246
766: 0 | 247 247
767: 3 | 247 247
768: 0 | 249
769: 0 | 249 249
770: 3 | 249 249 249
771: 0 | 251 251
772: 0 | 252 257
773: 0 | 253 253
774: 0 | 253 252 252
775: 2 | 257 252
776: 0 | 254 255 256
777: 0 | 254 255 256 254 255 256
778: 2 | 254 255 256
779: 3 | 254 255 256 254 255 256
780: 0 | 258 259 260
781: 0 | 258 259 260
782: 0 | 258 259 260
783: 0 | 258 259 260
784: 0 | 249 249
785: 3 | 249 249 249
786: 0 | 249 249 250
787: 0 | 250 250
788: 0 | 261 261 261
789: 0 | 263 263
790: 0 | 262
791: 0 | 262 261 261
792: 2 | 261 261
793: 1 | 261 261 261
794: 3 | 261 261 261
795: 0 | 264
796: 0 | 269 269
797: 0 | 269 270 270
798: 0 | 270 270 270 270
799: 3 | 270 270 269
800: 0 | 271
801: 0 | 272
802: 0 | 273
803: 2 | 271
804: 0 | 268
805: 0 | 268
806: 0 | 268
807: 0 | 274 275
808: 0 | 265
809: 0 | 265 265
810: 0 | 266
811: 0 | 267
812: 0 | 173
813: 0 | 173 173
814: 0 | 173
815: 0 | 173
816: 0 | 173 173
817: 0 | 173 173 252
818: 0 | 173 173 281
819: 0 | 252
820: 0 | 286 286
821: 0 | 286 286 286
822: 0 | 287 288 287 288 287 288
823: 0 | 287 288 287 288 287 288
824: 0 | 285
825: 0 | 289 289
826: 0 | 289 286
827: 2 | 286
828: 2 | 286 286
829: 3 | 286 286
830: 0 | 289
831: 0 | 290 290
832: 0 | 290 290 290
833: 0 | 290 290 289
834: 2 | 290 290
835: 2 | 289
836: 0 | 291 292 292 293
837: 0 | 291 292 292 293
838: 0 | 291 292 292 293
839: 0 | 291 292 292 293
840: 0 | 296 297 298
841: 0 | 296 297 298 296
842: 0 | 296 297 298 296
843: 0 | 296 297 298 296
844: 0 | 299 300
845: 0 | 299 300
846: 0 | 299 300
847: 0 | 299 300
848: 0 | 301 301
849: 0 | 302
850: 0 | 301 301 301
851: 2 | 301 301
852: 0 | 304
853: 0 | 301
854: 3 | 301 301
855: 0 | 267
856: 0 | 362 363 305
857: 0 | 362 363 305
858: 0 | 362 363 305
859: 0 | 305
860: 0 | 306 307 308
861: 0 | 306 307 308
862: 0 | 306 307 308
863: 0 | 306 307 308
864: 0 | 309 309 309
865: 0 | 309
866: 0 | 309
867: 0 | 309
868: 0 | 294 295
869: 0 | 294 295 294 295
870: 0 | 322
871: 0 | 322
872: 0 | 317
873: 0 | 321 321
874: 0 | 321 321 321
875: 2 | 321 321
876: 0 | 318
877: 0 | 323 323
878: 0 | 318 321 321
879: 0 | 321 321 321
880: 0 | 215
881: 0 | 315
882: 2 | 323
883: 3 | 323 323
884: 0 | 311 312
885: 0 | 310
886: 0 | 310 310
887: 1 | 310 310
888: 3 | 314 314
889: 0 | 314
890: 0 | 319 319 319
891: 0 | 317
892: 0 | 313
893: 0 | 314
894: 0 | 316
895: 2 | 314
896: 0 | 317
897: 0 | 294 295
898: 0 | 294 295
899: 0 | 294 295
900: 0 | 320
901: 0 | 315
902: 0 | 314
903: 0 | 315
904: 0 | 323
905: 0 | 323 323
906: 0 | 323
907: 0 | 311 312
908: 0 | 324 324 324
909: 0 | 324
910: 0 | 324
911: 0 | 324
912: 0 | 325 325 325 325 325
913: 0 | 325
914: 0 | 325
915: 0 | 325
916: 0 | 326 326 326 326 326
917: 0 | 326
918: 0 | 326
919: 0 | 326
920: 0 | 330 330 330 330 330 330
921: 0 | 330
922: 0 | 330
923: 0 | 330
924: 0 | 331
925: 1 | 332
926: 0 | 331
927: 0 | 332
928: 0 | 327 327 327 327 327
929: 0 | 327
930: 0 | 327
931: 0 | 327
932: 0 | 328 328 328 328 328
933: 0 | 328
934: 0 | 328
935: 0 | 328
936: 0 | 329 329 329 329 329 329
937: 0 | 329
938: 0 | 329
939: 0 | 329
940: 0 | 237
941: 0 | 235 236
942: 0 | 237 237
943: 3 | 237 237
944: 0 | 237
945: 0 | 237 237
946: 3 | 237 237
947: 0 | 173 173
948: 0 | 240 241 242
949: 0 | 240 241 242 240 241 242
950: 2 | 240 241 242
951: 3 | 240 241 242 240 241 242
952: 0 | 0 0 0 0 0 0
953: 0 | 0 0 0 0 0 0
954: 0 | 0 0 0 0 0 0
955: 0 | 0 0 0 0 0 0
956: 0 | 233
957: 0 | 0 0 0 0 0 0
958: 0 | 0 0 0 0 0 0
959: 0 | 0 0 0 0 0 0
960: 0 | 280
961: 0 | 264
962: 0 | 272
963: 0 | 272
964: 0 | 268
965: 0 | 266
966: 0 | 266
967: 0 | 268
968: 0 | 285
969: 0 | 285
970: 0 | 285
971: 0 | 285
972: 0 | 304
973: 0 | 299 300
974: 0 | 304
975: 0 | 304
976: 0 | 262 262
977: 0 | 261 261 263
978: 0 | 262
979: 2 | 262 262
980: 0 | 10
981: 0 | 10
982: 2 | 11 12 12
983: 2 | 11 12 12
984: 0 | 13 14 15 15 15 15
985: 0 | 13 14 15 15 15 15
986: 0 | 13 14 15 15 15 15
987: 0 | 15 15 15 15
988: 0 | 335
989: 0 | 2
990: 0 | 2
991: 0 | 2
992: 0 | 102 102 102
993: 0 | 103 103
994: 0 | 102 102 102 102
995: 0 | 102 103 102
996: 0 | 0 0 0 0 0 0
997: 0 | 0 0 0 0 0 0
998: 0 | 2
999: 0 | 2 2 2 2 2
